,Iteration,Fitness,FEvals,Time,max_iters,learning_rate,algorithm,activation,bias,early_stopping,clip_max,hidden_layer_sizes,learning_rate_init,max_attempts,current_restart
0,0,30.2023497057082,1,0.17530185799842,500,0.1,rhc,relu,True,True,5,"[500, 500, 10]",0.1,500,0
1,1,30.2023497057082,2,0.737420687000849,500,0.1,rhc,relu,True,True,5,"[500, 500, 10]",0.1,500,0
2,2,30.2023166582611,4,1.3473924860009,500,0.1,rhc,relu,True,True,5,"[500, 500, 10]",0.1,500,0
3,4,30.1954584794861,8,2.11196806699809,500,0.1,rhc,relu,True,True,5,"[500, 500, 10]",0.1,500,0
4,8,30.1953623427803,14,2.99057464399812,500,0.1,rhc,relu,True,True,5,"[500, 500, 10]",0.1,500,0
5,16,30.1911792789157,27,4.33549381699777,500,0.1,rhc,relu,True,True,5,"[500, 500, 10]",0.1,500,0
6,32,30.1841563023773,48,6.22075154299819,500,0.1,rhc,relu,True,True,5,"[500, 500, 10]",0.1,500,0
7,64,30.1605304237206,95,9.97781152500102,500,0.1,rhc,relu,True,True,5,"[500, 500, 10]",0.1,500,0
8,128,30.0576504362202,184,16.6473739040011,500,0.1,rhc,relu,True,True,5,"[500, 500, 10]",0.1,500,0
9,256,29.9765893255325,365,30.2586318239992,500,0.1,rhc,relu,True,True,5,"[500, 500, 10]",0.1,500,0
10,512,29.811741145021,732,57.9775276309993,500,0.1,rhc,relu,True,True,5,"[500, 500, 10]",0.1,500,0
